id,address,location
101,大祥区资江南路34号,"111.460974,27.239002"
102,双清区石桥乡白马村4组345附1号,"111.492090,27.196912"
103,双清区渡头桥光辉村8组,"111.615477,27.205985"
104,大祥区大信街105号,"111.465028,27.236121"
105,大祥区火车南站双圆路25-1号8栋,"111.457396,27.217660"
106,大祥区沙子坡97号综合楼7、8号门面,"111.460136,27.229478"
107,大祥区汽车南站对面南苑大厦,"111.454881,27.220225"
108,双清区城东乡洋溪村五组,"111.497204,27.282574"
109,双清区火车站乡白云村2组232号,"111.510128,27.265830"
110,双清区龙须塘东润馨苑1栋11号,"111.494054,27.250864"
111,大祥区城南街道西湖南路2011第61号地,"111.447507,27.201118"
112,大祥区祭旗坡锅厂对面,"111.452518,27.215313"
113,大祥区联科龙园10号楼101号门面,"111.453002,27.212434"
114,大祥区城南乡学院路,"111.453752,27.222967"
115,双清区长岭居委会5组1号门面,"111.488395,27.247089"
116,北塔区中驰第一城第二栋一单元1003号房,"111.455063,27.254820"
117,北塔区田江乡匡家社区5栋2单元1楼,"111.452744,27.268438"
118,北塔区龙山路市公安局对面龙江酒店一楼门面,"111.461207,27.254474"
119,北塔区北站商业小区5栋(汽车北站进口),"111.449992,27.246145"
120,北塔区磨石社区居民委员会1组69号,"111.438699,27.244493"
121,双清区宝庆东路陶家冲（建材城一期对面）,"111.504312,27.238671"
122,双清区秀峰庵居委会,"111.494750,27.231670"
123,双清区宝庆东路1546门面,"111.498031,27.233278"
124,大祥区宝庆中路472号一楼6号门面,"111.461960,27.231730"
125,大祥区敏州东路敏州华庭5号,"111.464826,27.220820"
126,大祥区火车南站25-2号地6栋1-2号门面,"111.462127,27.214494"
127,大祥区火车南站26-2#地显贵楼第1栋B区,"111.462127,27.214494"
128,双清区涂家冲综合楼4号门面,"111.475562,27.235509"
129,双清区火车站乡红旗社区,"111.542931,27.260794"
130,北塔区湘瓷竹木建材大市场内,"111.451101,27.245075"
131,大祥区南站站前区客村路27-1号第三栋一楼,"111.463840,27.217648"
132,大祥区双拥路1号,"111.459444,27.222611"
133,大祥区檀江乡荷叶村114号,"111.495650,27.158569"
134,大祥区金家路526号（邵阳日报大门对面）,"111.440170,27.228499"
135,双清区陶瓷世界86号门面,"111.474419,27.243309"
136,双清区洋溪桥村10组,"111.497933,27.278688"
137,大祥区西外街富宏大厦8号门面,"111.454717,27.236566"
138,大祥区宝庆中路三八亭地段143、145号门面,"111.472226,27.232602"
139,大祥区宝庆西路162号飞机坪11栋2单元101号房,"111.448275,27.231921"
140,大祥区名人国际小区10栋1005号商铺,"111.469487,27.220261"
141,大祥区西外街商业技校对面,"111.440224,27.236882"
142,大祥区城北路509号,"111.459723,27.236962"
143,双清区五一中路81号,"111.480744,27.241257"
144,百春园14栋一楼门面,"111.452712,27.222654"
145,双清区城东乡洋溪桥社区,"111.498745,27.278321"
146,大祥区迎春路,"111.452194,27.225330"
147,双清区石桥乡屏丰村京都世纪城,"111.497988,27.213213"
148,大祥区蔡锷乡金山村,"111.544578,27.157105"
149,双清区湘桂黔建材城二期A区园艺路32栋2号,"111.479922,27.239365"
150,北塔区高撑社区,"111.461329,27.257183"
151,大祥区敏州东路28号1栋1105号门面,"111.461769,27.221334"
152,大祥区魏源大酒店10号门面,"111.457860,27.214626"
153,双清区高崇山镇浏阳安置地8栋-1号,"111.592730,27.257465"
154,北塔区杨家垅,"111.406427,27.233987"
155,双清区石桥乡新东煤矿1栋20号,"111.513239,27.214176"
156,大祥区宝庆西路82号,"111.451130,27.230700"
157,双清区塔北路宝庆府邸和苑8-9号门面,"111.487517,27.246830"
158,大祥区邵水西路3组,"111.475290,27.229225"
159,双清区石桥乡五十亭,"111.496341,27.232708"
160,大祥区红星社区15号安置地15栋9号门面,"111.464147,27.219690"
161,大祥区百春园45栋102号门面,"111.452149,27.224232"
162,北塔区陈家桥廖家村5组,"111.428058,27.278100"
163,双清区华商大厦11号门面,"111.485546,27.236005"
164,大祥区青云街综合楼4号门面,"111.462768,27.235372"
165,北塔区资新社区居委会消防楼大门口,"111.412289,27.229788"
166,北塔区江北大市场7-2栋1-3号门面,"111.454410,27.242340"
167,大祥区南站建材城红星社区8号安置地107号,"111.468787,27.225297"
168,大祥区第一园艺场,"111.439091,27.221452"
169,大祥区敏州路西段101-105号,"111.454986,27.220949"
170,北塔区资州名苑,"111.444962,27.244147"
171,大祥区学院路街道马鞍石350号,"111.447456,27.206943"
172,双清区龙须塘办事处洋溪桥,"111.494869,27.245301"
173,大祥区樟树垅酒厂135号,"111.436265,27.234786"
174,大祥区敏州西路财政局对面,"111.447938,27.220711"
175,北塔区江北大世界,"111.453597,27.245187"
176,双清区通衡街196号,"111.478080,27.236160"
177,大祥区火车南站铜铃社区36-2号地16-17号门面,"111.456717,27.215928"
178,大祥区学院路街道湖口井路与西湖路交叉口东100米,"111.446362,27.200139"
179,双清区火车站乡进站路,"111.535328,27.252518"
180,北塔区南岗村1号,"111.414190,27.237619"
181,大祥区火车南站社区祭旗社区8号地3栋201号,"111.448833,27.215615"
182,大祥区邵水西路综合楼101号,"111.475290,27.229225"
183,大祥区汽车南站对面,"111.454774,27.220307"
184,大祥区蔡锷乡信用社桥头,"111.589510,27.199028"
185,双清区新华路,"111.505389,27.243157"
186,双清区石桥乡五一村安置地,"111.502509,27.220336"
187,大祥区财富路雍翠怡景小区B栋,"111.446701,27.223054"
188,大祥区火车南站27号地,"111.462127,27.214494"
189,双清区液压有限公司宿舍4栋1号,"111.516470,27.246314"
190,大祥区雪峰南路金鹏嘉苑3栋2单元1楼,"111.439277,27.225181"
191,大祥区人大路临街二间门面,"111.464623,27.223673"
192,大祥区九龙城小区8号栋1006号商铺,"111.436807,27.213809"
193,双清区建设路武警支队对面,"111.485383,27.230394"
194,双清区邵水东路28号地-13号门面,"111.476936,27.213174"
195,大祥区邵州西路和福佳园1号楼15-16号门面,"111.447971,27.213873"
196,北塔区槐树村13号,"111.438954,27.251020"
197,双清区石桥乡金星村12组,"111.486907,27.209710"
198,双清区宝庆中路,"111.464468,27.232119"
199,北塔区商业小区2栋36号门面,"111.449776,27.245731"
200,双清区立新安置地,"111.500656,27.238066"
201,双清区昭陵西路东山寺粮运车队和顺华府小区1号楼0001009室,"111.475470,27.241645"
202,双清区火车站乡白云村1组,"111.510128,27.265830"
203,双清区洛阳洞3-1栋21号门面,"111.476861,27.243721"
204,大祥区敏州西路华厦田园27号楼,"111.441440,27.220104"
205,双清区肖家冲煤矿综合楼29号门面,"111.576769,27.234761"
206,北塔区茶元头乡兴隆街,"111.399699,27.224238"
207,大祥区戴家坪翠园公交站旁边,"111.467857,27.222626"
208,北塔区江北大世界内,"111.453597,27.245187"
209,北塔区龙山和苑A栋1001-1002号门面,"111.452135,27.255125"
210,双清区宝庆东路进出口公司门面1578号,"111.481856,27.232572"
211,北塔区市工商行政管理局对面,"111.459171,27.255146"
212,双清区秀峰社区2组,"111.494611,27.232223"
213,双清区李湘桂建材城一期金家院子6栋4号门面,"111.504744,27.238404"
214,双清区新华印刷厂旁边,"111.500782,27.246516"
215,双清区双坡南路12栋5-6号门面,"111.495964,27.243202"
216,北塔区状元社区29号地综合楼1楼西头门面,"111.449602,27.243501"
217,大祥区城南乡紫霞村6组282号,"111.481146,27.183330"
218,北塔区状元社区22栋,"111.449289,27.244511"
219,双清区东大路466号,"111.494374,27.243808"
220,大祥区深家塘学院后街,"111.442480,27.192819"
221,双清区张家排安置小区,"111.496341,27.232708"
222,大祥区百春园美林园A栋25号,"111.450208,27.227630"
223,大祥区敏州西路华夏田园27栋7号门面,"111.441474,27.219991"
224,大祥区七里坪社区30号,"111.447003,27.208938"
225,大祥区马蹄路2组34号,"111.449436,27.228582"
226,双清区宝庆车站内办公楼下14号,"111.484686,27.238084"
227,大祥区蔡锷乡黄草坪1组77号,"111.591238,27.111520"
228,大祥区檀江乡檀江村9组,"111.491710,27.163926"
229,双清区建设路大厦35号门面,"111.471564,27.238747"
230,双清区宝庆东路妇幼保健院对面荣昌大厦,"111.492315,27.232470"
231,双清区化纤厂石家园,"111.503784,27.249949"
232,双清区渡头桥镇渡头桥社区2组,"111.562004,27.197602"
233,北塔区中驰一城3栋1009号,"111.457156,27.254948"
234,双清区昭陵西路十三号双清区就业管理局房屋一间,"111.479589,27.240280"
235,双清区昭陵西路27号,"111.479443,27.240380"
236,大祥区樟树垅雪峰市场东北二间门面,"111.436629,27.232456"
237,大祥区神白路原白田监狱对面,"111.430180,27.217546"
238,大祥区城南街道城南园艺场,"111.444116,27.205106"
239,双清区汽车东站,"111.487237,27.239241"
