,sale_center_id,county,cust_id,busi_addr,address
12324,1111430505,邵东县,5021971329,湖南省邵阳市邵东县宋家塘昭阳大道752号,宋家塘昭阳大道752号
12325,1111430505,邵东县,5021971373,湖南省邵阳市邵东县宋家塘办事处衡宝路1161-1163号,宋家塘办事处衡宝路1161-1163号
12326,1111430505,邵东县,5021971307,湖南省邵阳市邵东县火厂坪镇大丰村横经路,火厂坪镇大丰村横经路
12327,1111430505,邵东县,5021971367,湖南省邵阳市邵东县火厂坪镇龙新村,火厂坪镇龙新村
12328,1111430505,邵东县,5021971369,湖南省邵阳市邵东县火厂坪镇岩泉路2号,火厂坪镇岩泉路2号
12329,1111430505,邵东县,5021971197,湖南省邵阳市邵东县灵官殿镇毛荷殿街,灵官殿镇毛荷殿街
12330,1111430505,邵东县,5021971052,湖南省邵东县团山镇钟家台村四组8号,团山镇钟家台村四组8号
12331,1111430505,邵东县,5021971368,湖南省邵阳市邵东县仙槎桥镇青山村,仙槎桥镇青山村
12332,1111430505,邵东县,5021971384,湖南省邵阳市邵东县廉桥镇太阳村车站路108号,廉桥镇太阳村车站路108号
12333,1111430505,邵东县,5021971382,湖南省邵阳市邵东县廉桥镇徐家铺村9组116号,廉桥镇徐家铺村9组116号
12334,1111430505,邵东县,5021971344,湖南省邵阳市邵东县宋家塘金龙大道809-811号,宋家塘金龙大道809-811号
12335,1111430505,邵东县,5021971277,湖南省邵阳市邵东县灵官殿镇公田村,灵官殿镇公田村
12336,1111430505,邵东县,5021971338,湖南省邵阳市邵东县流光岭镇流镇新村,流光岭镇流镇新村
12337,1111430505,邵东县,5021971330,湖南省邵阳市邵东县廉桥镇朱家冲村13组271号,廉桥镇朱家冲村13组271号
12338,1111430505,邵东县,5021971383,湖南省邵阳市邵东县黑田铺镇玉京村,黑田铺镇玉京村
12339,1111430505,邵东县,5021971396,湖南省邵阳市邵东县黑田铺镇龙园村,黑田铺镇龙园村
12340,1111430505,邵东县,5021971400,湖南省邵阳市邵东县两市塘办事处青年路8号,两市塘办事处青年路8号
12341,1111430505,邵东县,5021971417,湖南省邵阳市邵东县黄陂桥乡邦盛凤凰城公寓楼,黄陂桥乡邦盛凤凰城公寓楼
12342,1111430505,邵东县,5021971401,湖南省邵阳市邵东县两市塘办事处建设中路121号,两市塘办事处建设中路121号
12343,1111430505,邵东县,5021971406,湖南省邵阳市邵东县宋家塘办事处两塘路74号,宋家塘办事处两塘路74号
12344,1111430505,邵东县,5021971407,湖南省邵阳市邵东县宋家塘办事处岳阳路50号,宋家塘办事处岳阳路50号
12345,1111430505,邵东县,5021971415,湖南省邵阳市邵东县宋家塘办事处建设西路东方巴黎A栋8-9号,宋家塘办事处建设西路东方巴黎A栋8-9号
12346,1111430505,邵东县,5021971416,湖南省邵阳市邵东县宋家塘办事处新辉社区龙村花园4栋10号门面,宋家塘办事处新辉社区龙村花园4栋10号门面
12347,1111430505,邵东县,5021971405,湖南省邵阳市邵东县宋家塘昭阳大道802号,宋家塘昭阳大道802号
12348,1111430505,邵东县,5021971385,湖南省邵阳市邵东县黑田铺镇尧塘村13组,黑田铺镇尧塘村13组
12349,1111430505,邵东县,5021971419,湖南省邵阳市邵东县黑田铺镇龙园村,黑田铺镇龙园村
12350,1111430505,邵东县,5021971394,湖南省邵阳市邵东县宋家塘金兴社区邵焦安置小区三栋23号,宋家塘金兴社区邵焦安置小区三栋23号
12351,1111430505,邵东县,5021971412,湖南省邵阳市邵东县宋家塘办事处永兴路50号,宋家塘办事处永兴路50号
12352,1111430505,邵东县,5021971380,湖南省邵阳市邵东县廉桥镇长龙村8组25号,廉桥镇长龙村8组25号
